row_number,subdistrict_id,subdistrict_name_en,subdistrict_name_th,district_id,district_name_en,district_name_th,province_id,province_name_en,province_name_th,walk_leisure,walk_public_service,walk_school,walk_shopping,walk_work,walk_total,access_boat,access_bus,access_train,access_total,drive_leisure,drive_public_service,drive_school,drive_shopping,drive_work,drive_total,source
684,3813,SANAM BIN,สนามบิน,3811,DON MUEANG,ดอนเมือง,3781,Bangkok,กรุงเทพมหานคร,99.0,100.0,99.0,100.0,100.0,100.0,1.0,92.0,1.0,37.0,100.0,76.0,100.0,81.0,94.0,87.0,baania
77,20618,ON NUT,อ่อนนุช,3969,SUAN LUANG,สวนหลวง,3781,Bangkok,กรุงเทพมหานคร,80.0,100.0,80.0,100.0,100.0,94.0,100.0,92.0,1.0,77.0,97.0,73.0,100.0,87.0,100.0,90.0,baania
115,3998,TALAT BANG KHEN,ตลาดบางเขน,3997,LAK SI,หลักสี่,3781,Bangkok,กรุงเทพมหานคร,87.0,97.0,87.0,100.0,99.0,96.0,1.0,97.0,1.0,40.0,100.0,79.0,99.0,94.0,97.0,95.0,baania
134,3449,KRASAE BON,กระแสบน,3448,KLAENG,แกลง,3431,Rayong,ระยอง,1.0,22.0,8.0,37.0,33.0,25.0,0.0,0.0,0.0,0.0,43.0,67.0,79.0,73.0,91.0,67.0,baania
119,7294,PUEK TIAN,ปึกเตียน,7282,THA YANG,ท่ายาง,7226,Phetchaburi,เพชรบุรี,1.0,41.0,1.0,33.0,1.0,21.0,0.0,0.0,0.0,0.0,47.0,98.0,13.0,95.0,1.0,68.0,baania
340,3427,BANG PHUT,บางพูด,3418,PAK KRET,ปากเกร็ด,3372,Nonthaburi,นนทบุรี,95.0,96.0,82.0,98.0,97.0,96.0,1.0,100.0,73.0,55.0,100.0,100.0,99.0,100.0,100.0,100.0,baania
354,3216,MAK KHAENG,หมากแข้ง,3196,MUEANG UDON THANI,เมืองอุดรธานี,3195,Udon Thani,อุดรธานี,46.0,74.0,54.0,84.0,73.0,71.0,0.0,0.0,0.0,0.0,95.0,100.0,98.0,100.0,100.0,99.0,baania
300,3210,SAM PHRAO,สามพร้าว,3196,MUEANG UDON THANI,เมืองอุดรธานี,3195,Udon Thani,อุดรธานี,8.0,10.0,13.0,24.0,29.0,19.0,0.0,0.0,0.0,0.0,66.0,87.0,86.0,80.0,87.0,79.0,baania
629,3500,THAI BAN,ท้ายบ้าน,3499,MUEANG SAMUT PRAKAN,เมืองสมุทรปราการ,3498,Samut Prakan,สมุทรปราการ,88.0,94.0,79.0,100.0,100.0,95.0,1.0,89.0,0.0,36.0,100.0,100.0,99.0,100.0,100.0,100.0,baania
241,3611,BAN CHANG,บ้านฉาง,3600,MUEANG PATHUM THANI,เมืองปทุมธานี,3599,Pathum Thani,ปทุมธานี,85.0,77.0,95.0,100.0,100.0,94.0,0.0,100.0,0.0,40.0,100.0,100.0,100.0,99.0,99.0,100.0,baania
