row_number,transction_year,transction_month,listing_province_name_th,listing_province_name_en,listing_district_name_th,listing_district_name_en,project_propertytype_name_th,project_propertytype_name_en,total_listing,median_rent_price_sqm
667,2019,9,สมุทรปราการ,SAMUT PRAKAN,พระประแดง,PHRA PRADAENG,คอนโด,Condo,13,275
49,2021,4,นนทบุรี,NONTHABURI,ปากเกร็ด,PAK KRET,คอนโด,Condo,76,308
1120,2019,6,กรุงเทพมหานคร,BANGKOK,พระโขนง,PHRA KHANONG,คอนโด,Condo,127,490
739,2019,9,กรุงเทพมหานคร,BANGKOK,สาทร,SATHON,คอนโด,Condo,93,531
380,2021,3,กรุงเทพมหานคร,BANGKOK,ประเวศ,PRAWET,คอนโด,Condo,29,272
321,2021,8,กรุงเทพมหานคร,BANGKOK,สาทร,SATHON,คอนโด,Condo,474,568
1210,2020,5,กรุงเทพมหานคร,BANGKOK,บางแค,BANG KHAE,คอนโด,Condo,20,293
334,2020,10,กรุงเทพมหานคร,BANGKOK,บางซื่อ,BANG SUE,คอนโด,Condo,155,331
23,2019,8,กรุงเทพมหานคร,BANGKOK,บางรัก,BANG RAK,คอนโด,Condo,173,728
230,2020,4,กรุงเทพมหานคร,BANGKOK,ภาษีเจริญ,PHASI CHAROEN,คอนโด,Condo,24,301
588,2019,4,กรุงเทพมหานคร,BANGKOK,พญาไท,PHAYA THAI,คอนโด,Condo,49,519
554,2021,7,นนทบุรี,NONTHABURI,เมืองนนทบุรี,MUEANG NONTHABURI,คอนโด,Condo,289,259
413,2019,8,กรุงเทพมหานคร,BANGKOK,ดินแดง,DIN DAENG,คอนโด,Condo,78,423
966,2019,8,กรุงเทพมหานคร,BANGKOK,บางแค,BANG KHAE,คอนโด,Condo,31,287
1395,2020,12,สมุทรปราการ,SAMUT PRAKAN,บางบ่อ,BANG BO,คอนโด,Condo,34,258
1360,2022,1,กรุงเทพมหานคร,BANGKOK,จอมทอง,CHOM THONG,คอนโด,Condo,24,298
870,2021,7,กรุงเทพมหานคร,BANGKOK,บางซื่อ,BANG SUE,คอนโด,Condo,78,344
1251,2021,8,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,คอนโด,Condo,713,708
