row_number,transction_year,transction_month,listing_province_name_th,listing_province_name_en,listing_district_name_th,listing_district_name_en,project_propertytype_name_th,project_propertytype_name_en,volume_of_rental
1156,2020,8,กรุงเทพมหานคร,BANGKOK,บางกะปิ,BANG KAPI,คอนโด,Condo,283
1031,2021,5,กรุงเทพมหานคร,BANGKOK,สาทร,SATHON,คอนโด,Condo,375
483,2021,10,กรุงเทพมหานคร,BANGKOK,บางพลัด,BANG PHLAT,คอนโด,Condo,64
499,2022,1,กรุงเทพมหานคร,BANGKOK,ประเวศ,PRAWET,คอนโด,Condo,32
589,2019,11,สมุทรปราการ,SAMUT PRAKAN,บางพลี,BANG PHLI,คอนโด,Condo,203
254,2019,9,กรุงเทพมหานคร,BANGKOK,บางคอแหลม,BANG KHO LAEM,คอนโด,Condo,22
1310,2020,10,กรุงเทพมหานคร,BANGKOK,ภาษีเจริญ,PHASI CHAROEN,คอนโด,Condo,83
1389,2020,2,กรุงเทพมหานคร,BANGKOK,ลาดกระบัง,LAT KRABANG,คอนโด,Condo,21
687,2019,8,สมุทรปราการ,SAMUT PRAKAN,พระประแดง,PHRA PRADAENG,คอนโด,Condo,12
927,2020,5,กรุงเทพมหานคร,BANGKOK,ประเวศ,PRAWET,คอนโด,Condo,21
1032,2020,9,กรุงเทพมหานคร,BANGKOK,พญาไท,PHAYA THAI,คอนโด,Condo,62
140,2019,8,กรุงเทพมหานคร,BANGKOK,หลักสี่,LAK SI,คอนโด,Condo,15
622,2020,4,กรุงเทพมหานคร,BANGKOK,วัฒนา,VADHANA,คอนโด,Condo,258
1019,2021,6,กรุงเทพมหานคร,BANGKOK,จอมทอง,CHOM THONG,คอนโด,Condo,29
1024,2020,2,นนทบุรี,NONTHABURI,ปากเกร็ด,PAK KRET,คอนโด,Condo,21
1437,2019,1,กรุงเทพมหานคร,BANGKOK,บางเขน,BANG KHEN,คอนโด,Condo,32
470,2020,12,กรุงเทพมหานคร,BANGKOK,วัฒนา,VADHANA,คอนโด,Condo,1783
97,2021,6,กรุงเทพมหานคร,BANGKOK,ยานนาวา,YAN NAWA,คอนโด,Condo,112
1469,2022,1,กรุงเทพมหานคร,BANGKOK,บางแค,BANG KHAE,คอนโด,Condo,34
1242,2019,1,กรุงเทพมหานคร,BANGKOK,จตุจักร,CHATUCHAK,คอนโด,Condo,103
1123,2020,11,นนทบุรี,NONTHABURI,บางบัวทอง,BANG BUA THONG,คอนโด,Condo,16
1436,2021,9,สมุทรปราการ,SAMUT PRAKAN,พระประแดง,PHRA PRADAENG,คอนโด,Condo,40
1371,2021,9,กรุงเทพมหานคร,BANGKOK,ราษฎร์บูรณะ,RAT BURANA,คอนโด,Condo,11
663,2019,9,กรุงเทพมหานคร,BANGKOK,บางซื่อ,BANG SUE,คอนโด,Condo,96
156,2019,8,สมุทรปราการ,SAMUT PRAKAN,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,คอนโด,Condo,109
615,2021,7,กรุงเทพมหานคร,BANGKOK,บางกะปิ,BANG KAPI,คอนโด,Condo,125
618,2020,5,กรุงเทพมหานคร,BANGKOK,ลาดกระบัง,LAT KRABANG,คอนโด,Condo,15
867,2019,8,กรุงเทพมหานคร,BANGKOK,สวนหลวง,PHATTHANAKAN,คอนโด,Condo,15
329,2019,7,กรุงเทพมหานคร,BANGKOK,ธนบุรี,THON BURI,คอนโด,Condo,83
937,2021,11,กรุงเทพมหานคร,BANGKOK,วังทองหลาง,WANG THONGLANG,คอนโด,Condo,25
1294,2021,10,กรุงเทพมหานคร,BANGKOK,ลาดพร้าว,LAT PHRAO,คอนโด,Condo,21
649,2019,7,นนทบุรี,NONTHABURI,ปากเกร็ด,PAK KRET,คอนโด,Condo,43
894,2020,7,กรุงเทพมหานคร,BANGKOK,พระโขนง,PHRA KHANONG,คอนโด,Condo,128
75,2020,6,กรุงเทพมหานคร,BANGKOK,คลองเตย,KHLONG TOEI,คอนโด,Condo,173
144,2019,5,กรุงเทพมหานคร,BANGKOK,สวนหลวง,SUAN LUANG,คอนโด,Condo,53
688,2021,9,ปทุมธานี,PATHUM THANI,ธัญบุรี,THANYABURI,คอนโด,Condo,11
838,2019,6,กรุงเทพมหานคร,BANGKOK,คลองสาน,KHLONG SAN,คอนโด,Condo,63
1490,2019,8,กรุงเทพมหานคร,BANGKOK,วังทองหลาง,WANG THONGLANG,คอนโด,Condo,18
415,2019,7,กรุงเทพมหานคร,BANGKOK,บางกอกใหญ่,BANGKOK YAI,คอนโด,Condo,24
1343,2021,11,นนทบุรี,NONTHABURI,บางกรวย,BANG KRUAI,คอนโด,Condo,12
1053,2021,12,กรุงเทพมหานคร,BANGKOK,สายไหม,SAI MAI,คอนโด,Condo,13
314,2021,8,สมุทรปราการ,SAMUT PRAKAN,พระประแดง,PHRA PRADAENG,คอนโด,Condo,29
510,2020,7,กรุงเทพมหานคร,BANGKOK,ธนบุรี,THON BURI,คอนโด,Condo,56
1423,2020,7,กรุงเทพมหานคร,BANGKOK,บางกะปิ,BANG KAPI,คอนโด,Condo,79
154,2020,12,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,คอนโด,Condo,563
1062,2020,5,กรุงเทพมหานคร,BANGKOK,ดินแดง,DIN DAENG,คอนโด,Condo,89
491,2019,1,กรุงเทพมหานคร,BANGKOK,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,165
683,2021,9,กรุงเทพมหานคร,BANGKOK,ยานนาวา,YAN NAWA,คอนโด,Condo,162
1025,2021,2,กรุงเทพมหานคร,BANGKOK,สวนหลวง,SUAN LUANG,คอนโด,Condo,201
20,2021,12,กรุงเทพมหานคร,BANGKOK,ราษฎร์บูรณะ,RAT BURANA,คอนโด,Condo,15
1200,2021,12,กรุงเทพมหานคร,BANGKOK,พญาไท,PHAYA THAI,คอนโด,Condo,144
56,2021,6,สมุทรปราการ,SAMUT PRAKAN,บางเสาธง,BANG SAO THONG,คอนโด,Condo,14
568,2022,1,กรุงเทพมหานคร,BANGKOK,ลาดพร้าว,LAT PHRAO,คอนโด,Condo,17
339,2020,9,กรุงเทพมหานคร,BANGKOK,วัฒนา,VADHANA,คอนโด,Condo,266
402,2019,10,กรุงเทพมหานคร,BANGKOK,ราชเทวี,RATCHATHEWI,คอนโด,Condo,605
1535,2021,12,กรุงเทพมหานคร,BANGKOK,วัฒนา,VADHANA,ทาวน์โฮม,Townhome,17
734,2021,6,กรุงเทพมหานคร,BANGKOK,สวนหลวง,SUAN LUANG,คอนโด,Condo,200
316,2019,8,กรุงเทพมหานคร,BANGKOK,บางรัก,BANG RAK,คอนโด,Condo,173
1116,2020,8,กรุงเทพมหานคร,BANGKOK,บางกอกน้อย,BANGKOK NOI,คอนโด,Condo,26
