row_number,transction_year,transction_month,province_name_th,province_name_en,district_name_th,district_name_en,propertytype_name_th,propertytype_name_en,volume_of_project,interest
2944,2017,8,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,บ้าน,Detached House,61,89
476,2017,4,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,อาคารพาณิชย์,Commercial,106,453
1930,2018,11,ปทุมธานี,Pathum Thani,ธัญบุรี,THANYABURI,บ้าน,Detached House,566,3596
3198,2020,8,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,บ้านแฝด,Twin house,21,128
782,2017,12,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,BANGKOK NOI,บ้าน,Detached House,35,305
3085,2017,7,นนทบุรี,Nonthaburi,บางใหญ่,BANG YAI,อาคารพาณิชย์,Commercial,432,2105
252,2017,2,สมุทรปราการ,Samut Prakan,พระสมุทรเจดีย์,PHRA SAMUT CHEDI,ทาวน์โฮม,Townhome,223,2651
1829,2020,5,กรุงเทพมหานคร,Bangkok,ราชเทวี,RATCHATHEWI,คอนโด,Condo,23,35
417,2019,8,กรุงเทพมหานคร,Bangkok,วังทองหลาง,WANG THONGLANG,คอนโด,Condo,65,198
557,2019,11,กรุงเทพมหานคร,Bangkok,จตุจักร,CHATUCHAK,บ้านแฝด,Twin house,117,1848
1269,2019,9,กรุงเทพมหานคร,Bangkok,พญาไท,PHAYA THAI,คอนโด,Condo,55,147
342,2019,11,กรุงเทพมหานคร,Bangkok,สวนหลวง,SUAN LUANG,ทาวน์โฮม,Townhome,58,97
126,2019,7,กรุงเทพมหานคร,Bangkok,ลาดกระบัง,LAT KRABANG,ทาวน์โฮม,Townhome,49,301
3214,2016,12,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,บ้าน,Detached House,224,2201
2375,2017,7,นครปฐม,Nakhon Pathom,พุทธมณฑล,PHUTTHAMONTHON,บ้านแฝด,Twin house,162,3677
2831,2018,5,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,คอนโด,Condo,179,2523
1760,2017,2,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,ทาวน์โฮม,Townhome,615,16889
159,2017,3,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,บ้าน,Detached House,2865,45204
2102,2017,7,นนทบุรี,Nonthaburi,บางกรวย,BANG KRUAI,อาคารพาณิชย์,Commercial,476,3783
3131,2017,4,กรุงเทพมหานคร,Bangkok,บางกอกใหญ่,BANGKOK YAI,บ้าน,Detached House,43,224
1009,2020,1,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,บ้านแฝด,Twin house,139,1087
366,2017,5,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,บ้าน,Detached House,4386,61676
2405,2020,1,กรุงเทพมหานคร,Bangkok,สวนหลวง,SUAN LUANG,ทาวน์โฮม,Townhome,136,1774
1813,2017,5,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,ทาวน์โฮม,Townhome,10901,137624
2449,2019,7,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,อาคารพาณิชย์,Commercial,61,594
839,2018,8,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,บ้าน,Detached House,306,2426
2173,2020,5,นนทบุรี,Nonthaburi,ไทรน้อย,SAI NOI,บ้านแฝด,Twin house,71,975
1286,2019,7,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,ทาวน์โฮม,Townhome,417,2604
518,2018,11,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,บ้านแฝด,Twin house,1040,8101
2020,2019,9,กรุงเทพมหานคร,Bangkok,สาทร,SATHON,คอนโด,Condo,87,210
637,2017,3,ปทุมธานี,Pathum Thani,ธัญบุรี,THANYABURI,บ้านแฝด,Twin house,346,5233
2185,2021,3,กรุงเทพมหานคร,Bangkok,บางแค,BANG KHAE,โฮมออฟฟิศ,Home office,27,210
3305,2017,6,กรุงเทพมหานคร,Bangkok,คลองเตย,KHLONG TOEI,คอนโด,Condo,706,1737
3287,2016,12,นนทบุรี,Nonthaburi,บางใหญ่,BANG YAI,ทาวน์โฮม,Townhome,598,6406
